id,type,name,tier,valence,intensity,compound_family,tags,notes,art_palette,art_textures,art_typography,art_motion
ENT_ELVES,entity,"Machine Elves",common,mixed,high,psychedelic,"builder;hyperactive;language-like;procedural;dmt-adjacent","Small/fast entities that 'construct' or manipulate reality.",,,,
ENT_MANTIS,entity,"Mantis / Insectoid Clinicians",common,mixed,high,psychedelic,"surgery;clinical;technician;body-work;detached","Insectoid beings performing 'adjustments' or examinations.",,,,
ENT_JESTER,entity,"Jester / Trickster",common,mixed,medium,unknown,"gatekeeper;mockery;paradox;humor;ego-check","Comedic/taunting presence that destabilizes certainty.",,,,
ENT_HATMAN,entity,"Hat Man / Shadow Watcher",common,ominous,high,deliriant,"shadow-people;peripheral;watcher;sleep-paralysis-adjacent","Dark silhouette watcher; overlaps sleep-paralysis folklore.",,,,
ENT_GAIA,entity,"Mother Gaia",rare,benign,extreme,psychedelic,"mother;unconditional-love;nurture;overwhelming-benevolence","Singular-feeling nurturing presence; total compassion.",,,,
LOC_WAITING_ROOM,location,"The Waiting Room / Antechamber",common,neutral,medium,psychedelic,"threshold;chrysanthemum;pre-breakthrough;liminal","Transitional staging space before breakthrough.",,,,
LOC_PALACE_UI,location,"Palace / Cathedral UI",common,mixed,high,psychedelic,"cathedral;vast-architecture;jewel-light;sacred-geometry","Vast ornate non-euclidean architecture; awe-heavy.",,,,
LOC_VOID,location,"The Void / White Light",common,mixed,extreme,unknown,"whiteout;nothingness;total-field;ego-dissolution","Objectless state: pure being / blank infinity.",,,,
LOC_NURSERY,location,"The Nursery",uncommon,mixed,high,psychedelic,"toys;impossible-objects;playful;dmt-adjacent","Playful room with impossible objects; shown to the traveler.",,,,
GEO_FRACTAL_UI,geometry,"Fractal UI / Infinite Recursion",common,neutral,high,psychedelic,"mandelbrot;recursion;infinite-zoom;self-similar","Recurring visual substrate; 'code-like' recursive structure.",,,,
GEO_HONEYCOMB,geometry,"Honeycomb / Hex Grid Overlay",common,neutral,medium,psychedelic,"hexagons;lattice;tiling;grid","Hexagonal tiling overlay perceived as structural layer.",,,,
GEO_TUNNEL,geometry,"Tunnel Vortex",common,mixed,extreme,psychedelic,"vortex;transit;acceleration;breakthrough","High-speed transition geometry; travel effect.",,,,
THR_POP,threshold,"The Pop / Snap",common,neutral,high,psychedelic,"breakthrough;click;transition;threshold-event","Sudden click that marks a mode switch.",,,,
THR_CARRIER_WAVE,threshold,"Carrier Wave (Audio Rise)",common,mixed,high,psychedelic,"tone;vibration;rising-frequency;pre-breakthrough","Rising tone/vibration preceding transition; Round 2 will test correlations.",,,,
THR_ZIPPER,threshold,"Zipper / Fold / Peel",uncommon,mixed,extreme,psychedelic,"unzip;fold;peel;behind-the-wall","Reality unzips/peels; Round 2 will categorize what's behind it.",,,,
MSG_ONE,message,"It is all one",common,neutral,high,unknown,"unity;nonduality;collapse","Nondual framing: subject/object collapse.",,,,
MSG_REALER,message,"More real than real",common,mixed,high,unknown,"hyperreality;higher-resolution;ontological-shock","Underlayer felt higher fidelity than baseline.",,,,
MSG_NO_FEAR,message,"Do not be afraid",common,benign,high,unknown,"reassurance;instruction;threshold","Often heard/felt at the gate.",,,,
MSG_LOOK,message,"Just look",uncommon,neutral,medium,unknown,"attention;instruction;gate","Attention is the key.",,,,
EMO_NOSTALGIA,emotion,"Cosmic Nostalgia",common,mixed,medium,unknown,"homecoming;remembering;longing","Recognition / returning vibe.",,,,
EMO_TERROR_EDGE,emotion,"Ego Dissolution Terror",common,ominous,extreme,unknown,"panic;threshold-fear;dying-feeling","Fear spike at boundary crossings.",,,,
EMO_BENEVOLENCE,emotion,"Unconditional Benevolence",uncommon,benign,high,psychedelic,"love-field;compassion;embrace","Love perceived as an ambient field.",,,,
ENT_ADMINS,entity,"Admins / Maintenance Subroutines",uncommon,mixed,high,unknown,"admin;maintenance;simulation;back-end","Entities framed as autonomous agents maintaining the simulation; react with surprise/annoyance/clinical interest.",,,,
ENT_JANITOR_VOID,entity,"Janitor of the Void",rare,ominous,high,deliriant,"hatman;janitor;dead-space;monitor","Hat Man interpreted as a janitor/monitor of dead-space or void state.",,,,
ENT_COLONEL_PANIC,entity,"Colonel Panic Supervisor",rare,ominous,high,deliriant,"sentinel;supervisor;crash-monitor;placeholder","Hat Man reinterpreted as a system-inserted supervisor during rendering crashes.",,,,
ENT_MICRODEMONS,entity,"Microdemons of Pattern Recognition",uncommon,ominous,medium,other,"threat-detection;pareidolia;security-protocol","Small threat-archetypes generated by overclocked threat detection.",,,,
ENT_SHADOW_SPIDERS,entity,"Shadow Spiders",common,ominous,high,other,"spiders;periphery;dph;stimulant-psychosis;sleep-deprivation","Translucent or shadow-black spiders crawling on walls/skin/periphery across deliriance/stimulant psychosis/sleep loss.",,,,
LOC_LIBRARY_LIVES,location,"Library of Lives",uncommon,mixed,high,unknown,"library;alternate-timelines;browse;life-review","A space where users 'browse' alternate versions of their own history; tied to temporal anomalies.",,,,
LOC_DELIRIANT_BASEMENT,location,"Deliriant Basement / Forbidden Zones",common,ominous,high,deliriant,"basement;forbidden-zones;low-layer;trash-cache","Low, heavy layer accessed via deliriants; malevolent architecture and decay-fragments.",,,,
LOC_TRASH_CACHE,location,"Trash Cache Directory",uncommon,ominous,medium,deliriant,"cache;discarded;fragments;collective-psyche","Metaphor-space for discarded/decaying fragments of the collective psyche.",,,,
LOC_BUFFER_VOID,location,"Buffer Between States",uncommon,neutral,high,dissociative,"buffer;between-states;hibernation;gray-void","Dissociative buffer-space when physical sensor I/O is cut; gray industrial/cosmic void.",,,,
LOC_K_HOLE_VOID,location,"K-Hole Kernel Void",common,mixed,extreme,dissociative,"k-hole;kernel;no-return;discard-body","Point-of-no-return dissociative space: awareness without body, in vast gray/industrial/cosmic void.",,,,
LOC_BIOS_LAYER,location,"BIOS / Power Layer (5-MeO)",uncommon,neutral,extreme,psychedelic,"bios;power-layer;whiteout;reset","5-MeO-DMT framed as BIOS/power layer: whiteout, nonduality, total reset, no entities.",,,,
LOC_DESKTOP_ENV,location,"Desktop Environment (N,N-DMT)",uncommon,mixed,high,psychedelic,"desktop;applications;waiting-room;palace","N,N-DMT framed as the applications/desktop layer: visuals, entities, messages, waiting room.",,,,
GEO_3D_LANGUAGE,geometry,"3D Language Objects",uncommon,neutral,high,psychedelic,"language;3d;vibrating;objects","Users see language as three-dimensional vibrating objects.",,,,
GEO_SYNESTHETIC_SYNTAX,geometry,"Synesthetic Syntax",uncommon,neutral,high,psychedelic,"speak-colors;sing-structures;syntax","Speaking in colors or 'singing structures' into existence.",,,,
GEO_RAW_DATA_TRANSFER,geometry,"Raw Data Transfer (Pre-speech)",uncommon,neutral,medium,psychedelic,"neural-nodes;pre-translation;packet","Witnessing data transfer between neural nodes before translation into human speech.",,,,
GEO_MACHINE_CODE_COGNITION,geometry,"Machine Code of Cognition",uncommon,neutral,high,psychedelic,"machine-code;cognition;underlayer","Interpretive geometry: cognition perceived as executable code.",,,,
GEO_ARCHITECTURE_DARK,geometry,"Dark Ghoul Architecture",uncommon,ominous,high,deliriant,"ghoul;architecture;forbidden;basement","Malevolent, heavy architectural motifs in low-layer deliriant states.",,,,
THR_GLOSSOLALIA,threshold,"Glossolalia Burst",uncommon,mixed,high,psychedelic,"glossolalia;tongues;vocal;synesthetic","Speaking/chanting in 'tongues' or nonhuman phonemes as a transition marker.",,,,
THR_FORGOTTEN_TONGUE,threshold,"Forgotten Tongue Recall",uncommon,mixed,medium,psychedelic,"remember-language;clicking;chirping;liquid-telepathy","Remembering a language never learned; clicking/chirping/liquid telepathy.",,,,
THR_CHRONOS_COLLAPSE,threshold,"Chronos Collapse (Eternal Now)",common,mixed,extreme,psychedelic,"time-stop;eternal-now;chronos-collapse","Total cessation of linear time; 'eternal now' state.",,,,
THR_LIFETIME_COMPRESSION,threshold,"Lifetime Compression",uncommon,mixed,extreme,psychedelic,"live-lifetimes;eons;compression","Subjective centuries/eons within minutes; whole lives/civilizations experienced.",,,,
THR_HARD_REBOOT,threshold,"Hard Reboot (Zap/Brain Shivers)",common,mixed,high,psychedelic,"zap;shivers;reboot;handshake","Electrical discharges/shivers during onset/offset; baseline handshake re-establishing.",,,,
THR_CACHE_OVERFLOW,threshold,"Cache Overflow Episode",uncommon,ominous,medium,deliriant,"cache-overflow;muscle-memory;phantom-actions","Muscle-memory scripts execute without physical hardware; produces phantom interactions.",,,,
THR_PHANTOM_OBJECT,threshold,"Phantom Object Loop",common,ominous,high,deliriant,"phantom-object;empty-hands;false-matter","Looping interaction with objects that aren’t there (e.g., cigarettes).",,,,
THR_FOREIGN_OBJECT,threshold,"Foreign Object Sensation",uncommon,mixed,medium,psychedelic,"implant;chip;parasite;patching","Feeling of a chip/implant/parasite inserted or removed (often with mantis clinicians).",,,,
MSG_INFO_IS_MATTER,message,"Information = Matter",uncommon,neutral,high,psychedelic,"info=matter;identity;underlayer","In the underlayer, information and matter are identical.",,,,
MSG_COMM_IS_THE_THING,message,"Communication Is The Thing",uncommon,neutral,high,psychedelic,"communication;not-representation;is-itself","Communication is not representation; it is the thing.",,,,
MSG_BRAIN_TERMINAL,message,"The Brain Is a Terminal",uncommon,mixed,high,unknown,"terminal;access;underlayer","Reframe: the underlayer is not inside the head; the brain is a terminal.",,,,
MSG_MOLECULE_LOGIN,message,"Molecule = Login Credential",uncommon,neutral,high,unknown,"credential;access-levels;login","Different substances grant different access levels (UI vs root vs trash).",,,,
MSG_UNAUTHORIZED_INTRUDER,message,"Unauthorized Intruder",uncommon,mixed,medium,unknown,"intruder;back-end;admins","User presence in back-end framed as unauthorized access; admins respond accordingly.",,,,
